image_path,class_name,stem
data\raw\kaggle\Normal\Normal- (3759).jpg,Normal,Normal- (3759)
data\raw\kaggle\Normal\Normal- (3037).jpg,Normal,Normal- (3037)
data\raw\kaggle\Normal\Normal- (3071).jpg,Normal,Normal- (3071)
data\raw\kaggle\Normal\Normal- (76).jpg,Normal,Normal- (76)
data\raw\kaggle\Normal\Normal- (248).jpg,Normal,Normal- (248)
data\raw\kaggle\Normal\Normal- (82).jpg,Normal,Normal- (82)
data\raw\kaggle\Normal\Normal- (1516).jpg,Normal,Normal- (1516)
data\raw\kaggle\Normal\Normal- (2539).jpg,Normal,Normal- (2539)
data\raw\kaggle\Normal\Normal- (2130).jpg,Normal,Normal- (2130)
data\raw\kaggle\Normal\Normal- (2984).jpg,Normal,Normal- (2984)
data\raw\kaggle\Normal\Normal- (610).jpg,Normal,Normal- (610)
data\raw\kaggle\Normal\Normal- (4318).jpg,Normal,Normal- (4318)
data\raw\kaggle\Normal\Normal- (3312).jpg,Normal,Normal- (3312)
data\raw\kaggle\Normal\Normal- (917).jpg,Normal,Normal- (917)
data\raw\kaggle\Normal\Normal- (955).jpg,Normal,Normal- (955)
data\raw\kaggle\Normal\Normal- (2342).jpg,Normal,Normal- (2342)
data\raw\kaggle\Normal\Normal- (1912).jpg,Normal,Normal- (1912)
data\raw\kaggle\Normal\Normal- (2094).jpg,Normal,Normal- (2094)
data\raw\kaggle\Normal\Normal- (3938).jpg,Normal,Normal- (3938)
data\raw\kaggle\Normal\Normal- (651).jpg,Normal,Normal- (651)
data\raw\kaggle\Normal\Normal- (993).jpg,Normal,Normal- (993)
data\raw\kaggle\Normal\Normal- (1556).jpg,Normal,Normal- (1556)
data\raw\kaggle\Normal\Normal- (2948).jpg,Normal,Normal- (2948)
data\raw\kaggle\Normal\Normal- (720).jpg,Normal,Normal- (720)
data\raw\kaggle\Normal\Normal- (1866).jpg,Normal,Normal- (1866)
data\raw\kaggle\Normal\Normal- (3785).jpg,Normal,Normal- (3785)
data\raw\kaggle\Normal\Normal- (1295).jpg,Normal,Normal- (1295)
data\raw\kaggle\Normal\Normal- (2059).jpg,Normal,Normal- (2059)
data\raw\kaggle\Normal\Normal- (1680).jpg,Normal,Normal- (1680)
data\raw\kaggle\Normal\Normal- (3170).jpg,Normal,Normal- (3170)
data\raw\kaggle\Normal\Normal- (2403).jpg,Normal,Normal- (2403)
data\raw\kaggle\Normal\Normal- (1963).jpg,Normal,Normal- (1963)
data\raw\kaggle\Normal\Normal- (2885).jpg,Normal,Normal- (2885)
data\raw\kaggle\Normal\Normal- (4044).jpg,Normal,Normal- (4044)
data\raw\kaggle\Normal\Normal- (4932).jpg,Normal,Normal- (4932)
data\raw\kaggle\Normal\Normal- (728).jpg,Normal,Normal- (728)
data\raw\kaggle\Normal\Normal- (2793).jpg,Normal,Normal- (2793)
data\raw\kaggle\Normal\Normal- (1136).jpg,Normal,Normal- (1136)
data\raw\kaggle\Normal\Normal- (671).jpg,Normal,Normal- (671)
data\raw\kaggle\Normal\Normal- (2753).jpg,Normal,Normal- (2753)
data\raw\kaggle\Normal\Normal- (3164).jpg,Normal,Normal- (3164)
data\raw\kaggle\Normal\Normal- (586).jpg,Normal,Normal- (586)
data\raw\kaggle\Normal\Normal- (1327).jpg,Normal,Normal- (1327)
data\raw\kaggle\Normal\Normal- (1215).jpg,Normal,Normal- (1215)
data\raw\kaggle\Normal\Normal- (1944).jpg,Normal,Normal- (1944)
data\raw\kaggle\Normal\Normal- (2701).jpg,Normal,Normal- (2701)
data\raw\kaggle\Normal\Normal- (1763).jpg,Normal,Normal- (1763)
data\raw\kaggle\Normal\Normal- (2691).jpg,Normal,Normal- (2691)
data\raw\kaggle\Normal\Normal- (1614).jpg,Normal,Normal- (1614)
data\raw\kaggle\Normal\Normal- (2473).jpg,Normal,Normal- (2473)
data\raw\kaggle\Normal\Normal- (4628).jpg,Normal,Normal- (4628)
data\raw\kaggle\Normal\Normal- (1626).jpg,Normal,Normal- (1626)
data\raw\kaggle\Normal\Normal- (4853).jpg,Normal,Normal- (4853)
data\raw\kaggle\Normal\Normal- (1952).jpg,Normal,Normal- (1952)
data\raw\kaggle\Normal\Normal- (2965).jpg,Normal,Normal- (2965)
data\raw\kaggle\Normal\Normal- (2641).jpg,Normal,Normal- (2641)
data\raw\kaggle\Normal\Normal- (1831).jpg,Normal,Normal- (1831)
data\raw\kaggle\Normal\Normal- (3364).jpg,Normal,Normal- (3364)
data\raw\kaggle\Normal\Normal- (963).jpg,Normal,Normal- (963)
data\raw\kaggle\Normal\Normal- (1415).jpg,Normal,Normal- (1415)
data\raw\kaggle\Normal\Normal- (4941).jpg,Normal,Normal- (4941)
data\raw\kaggle\Normal\Normal- (4603).jpg,Normal,Normal- (4603)
data\raw\kaggle\Normal\Normal- (2598).jpg,Normal,Normal- (2598)
data\raw\kaggle\Normal\Normal- (4971).jpg,Normal,Normal- (4971)
data\raw\kaggle\Normal\Normal- (234).jpg,Normal,Normal- (234)
data\raw\kaggle\Normal\Normal- (513).jpg,Normal,Normal- (513)
data\raw\kaggle\Normal\Normal- (4602).jpg,Normal,Normal- (4602)
data\raw\kaggle\Normal\Normal- (436).jpg,Normal,Normal- (436)
data\raw\kaggle\Normal\Normal- (3449).jpg,Normal,Normal- (3449)
data\raw\kaggle\Normal\Normal- (3304).jpg,Normal,Normal- (3304)
data\raw\kaggle\Normal\Normal- (4431).jpg,Normal,Normal- (4431)
data\raw\kaggle\Normal\Normal- (4081).jpg,Normal,Normal- (4081)
data\raw\kaggle\Normal\Normal- (3506).jpg,Normal,Normal- (3506)
data\raw\kaggle\Normal\Normal- (2258).jpg,Normal,Normal- (2258)
data\raw\kaggle\Normal\Normal- (3970).jpg,Normal,Normal- (3970)
data\raw\kaggle\Normal\Normal- (1281).jpg,Normal,Normal- (1281)
data\raw\kaggle\Normal\Normal- (1288).jpg,Normal,Normal- (1288)
data\raw\kaggle\Normal\Normal- (382).jpg,Normal,Normal- (382)
data\raw\kaggle\Normal\Normal- (3853).jpg,Normal,Normal- (3853)
data\raw\kaggle\Normal\Normal- (498).jpg,Normal,Normal- (498)
data\raw\kaggle\Normal\Normal- (2740).jpg,Normal,Normal- (2740)
data\raw\kaggle\Normal\Normal- (14).jpg,Normal,Normal- (14)
data\raw\kaggle\Normal\Normal- (3728).jpg,Normal,Normal- (3728)
data\raw\kaggle\Normal\Normal- (4565).jpg,Normal,Normal- (4565)
data\raw\kaggle\Normal\Normal- (1716).jpg,Normal,Normal- (1716)
data\raw\kaggle\Normal\Normal- (641).jpg,Normal,Normal- (641)
data\raw\kaggle\Normal\Normal- (1739).jpg,Normal,Normal- (1739)
data\raw\kaggle\Normal\Normal- (616).jpg,Normal,Normal- (616)
data\raw\kaggle\Normal\Normal- (4468).jpg,Normal,Normal- (4468)
data\raw\kaggle\Normal\Normal- (1513).jpg,Normal,Normal- (1513)
data\raw\kaggle\Normal\Normal- (1616).jpg,Normal,Normal- (1616)
data\raw\kaggle\Normal\Normal- (2980).jpg,Normal,Normal- (2980)
data\raw\kaggle\Normal\Normal- (52).jpg,Normal,Normal- (52)
data\raw\kaggle\Normal\Normal- (2528).jpg,Normal,Normal- (2528)
data\raw\kaggle\Normal\Normal- (4407).jpg,Normal,Normal- (4407)
data\raw\kaggle\Normal\Normal- (2425).jpg,Normal,Normal- (2425)
data\raw\kaggle\Normal\Normal- (2468).jpg,Normal,Normal- (2468)
data\raw\kaggle\Normal\Normal- (344).jpg,Normal,Normal- (344)
data\raw\kaggle\Normal\Normal- (34).jpg,Normal,Normal- (34)
data\raw\kaggle\Normal\Normal- (3035).jpg,Normal,Normal- (3035)
data\raw\kaggle\Normal\Normal- (4647).jpg,Normal,Normal- (4647)
data\raw\kaggle\Normal\Normal- (313).jpg,Normal,Normal- (313)
data\raw\kaggle\Normal\Normal- (2542).jpg,Normal,Normal- (2542)
data\raw\kaggle\Normal\Normal- (369).jpg,Normal,Normal- (369)
data\raw\kaggle\Normal\Normal- (679).jpg,Normal,Normal- (679)
data\raw\kaggle\Normal\Normal- (1846).jpg,Normal,Normal- (1846)
data\raw\kaggle\Normal\Normal- (2824).jpg,Normal,Normal- (2824)
data\raw\kaggle\Normal\Normal- (3302).jpg,Normal,Normal- (3302)
data\raw\kaggle\Normal\Normal- (2552).jpg,Normal,Normal- (2552)
data\raw\kaggle\Normal\Normal- (896).jpg,Normal,Normal- (896)
data\raw\kaggle\Normal\Normal- (3194).jpg,Normal,Normal- (3194)
data\raw\kaggle\Normal\Normal- (2758).jpg,Normal,Normal- (2758)
data\raw\kaggle\Normal\Normal- (1172).jpg,Normal,Normal- (1172)
data\raw\kaggle\Normal\Normal- (3732).jpg,Normal,Normal- (3732)
data\raw\kaggle\Normal\Normal- (43).jpg,Normal,Normal- (43)
data\raw\kaggle\Normal\Normal- (5009).jpg,Normal,Normal- (5009)
data\raw\kaggle\Normal\Normal- (1031).jpg,Normal,Normal- (1031)
data\raw\kaggle\Normal\Normal- (2578).jpg,Normal,Normal- (2578)
data\raw\kaggle\Normal\Normal- (4988).jpg,Normal,Normal- (4988)
data\raw\kaggle\Normal\Normal- (65).jpg,Normal,Normal- (65)
data\raw\kaggle\Normal\Normal- (1010).jpg,Normal,Normal- (1010)
data\raw\kaggle\Normal\Normal- (473).jpg,Normal,Normal- (473)
