Class,Threshold,Dice,IoU,Precision,Recall,F1
Normal,0.3,0.929,0.869,0.981,0.880,0.928
Normal,0.4,0.938,0.883,0.967,0.924,0.945
Normal,0.45,0.941,0.889,0.959,0.931,0.945
Normal,0.5,0.943,0.893,0.952,0.935,0.943
Tumor,0.3,0.879,0.785,0.923,0.841,0.880
Tumor,0.4,0.882,0.790,0.911,0.861,0.885
Tumor,0.45,0.884,0.793,0.901,0.877,0.889
Tumor,0.5,0.885,0.793,0.897,0.873,0.885
Stone,0.3,0.895,0.810,0.931,0.861,0.895
Stone,0.4,0.899,0.817,0.921,0.879,0.900
Stone,0.45,0.902,0.822,0.918,0.887,0.902
Stone,0.5,0.901,0.820,0.910,0.893,0.901
