Method,Class,DICE,IOU,PRECISION,RECALL,F1,HD95
SAM1,Normal,1.000±nan,1.000±nan,1.000±nan,1.000±nan,1.000±nan,0.000±nan
SAM1,Tumor,0.729±nan,0.633±nan,0.737±nan,0.870±nan,0.729±nan,21.005±nan
SAM1,Stone,0.467±nan,0.386±nan,0.528±nan,0.800±nan,0.467±nan,29.562±nan
SAM1,Macro,0.732,0.673,0.755,0.890,0.732,16.856
SAM2,Normal,1.000±nan,1.000±nan,1.000±nan,1.000±nan,1.000±nan,0.000±nan
SAM2,Tumor,0.683±nan,0.598±nan,0.684±nan,0.869±nan,0.683±nan,28.517±nan
SAM2,Stone,0.299±nan,0.245±nan,0.305±nan,0.800±nan,0.299±nan,32.408±nan
SAM2,Macro,0.661,0.615,0.663,0.890,0.661,20.308
MedSAM,Normal,1.000±nan,1.000±nan,1.000±nan,1.000±nan,1.000±nan,0.000±nan
MedSAM,Tumor,0.000±nan,0.000±nan,0.000±nan,0.000±nan,0.000±nan,448.029±nan
MedSAM,Stone,0.000±nan,0.000±nan,0.000±nan,0.000±nan,0.000±nan,454.654±nan
MedSAM,Macro,0.333,0.333,0.333,0.333,0.333,300.894
HQ-SAM,Normal,1.000±nan,1.000±nan,1.000±nan,1.000±nan,1.000±nan,0.000±nan
HQ-SAM,Tumor,0.690±nan,0.596±nan,0.684±nan,0.881±nan,0.690±nan,24.300±nan
HQ-SAM,Stone,0.445±nan,0.369±nan,0.518±nan,0.787±nan,0.445±nan,29.073±nan
HQ-SAM,Macro,0.712,0.655,0.734,0.889,0.712,17.791
SAM-Med2D,Normal,0.789±nan,0.000,0.000,0.000,0.000,0.000
SAM-Med2D,Tumor,0.231±nan,0.000,0.000,0.000,0.000,0.000
SAM-Med2D,Stone,0.179±nan,0.000,0.000,0.000,0.000,0.000
SAM-Med2D,Macro,0.400,0.000,0.000,0.000,0.000,0.000
nnU-Net,Normal,0.891±nan,0.000,0.000,0.000,0.000,0.000
nnU-Net,Tumor,0.117±nan,0.000,0.000,0.000,0.000,0.000
nnU-Net,Stone,0.030±nan,0.000,0.000,0.000,0.000,0.000
nnU-Net,Macro,0.346,0.000,0.000,0.000,0.000,0.000
MoE-RenalSAM-CG,Normal,1.000±nan,1.000±nan,1.000±nan,1.000±nan,1.000±nan,0.000±nan
MoE-RenalSAM-CG,Tumor,0.882±nan,0.789±nan,0.841±nan,0.948±nan,0.882±nan,8.240±nan
MoE-RenalSAM-CG,Stone,0.841±nan,0.725±nan,0.768±nan,0.954±nan,0.841±nan,7.430±nan
MoE-RenalSAM-CG,Macro,0.908,0.838,0.870,0.967,0.908,5.223
