method,class,n,dice_mean,dice_std,iou_mean,iou_std,hd95_mean,hd95_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
K-Means,Normal,1016,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
K-Means,Tumor,457,0.0864,0.1591,0.0538,0.1041,84.2197,47.7124,0.1012,0.2153,0.0932,0.1588,0.0864,0.1591
K-Means,Stone,276,0.0384,0.05,0.0203,0.0276,150.5058,63.0783,0.0203,0.0277,0.7506,0.3465,0.0384,0.05
K-Means,MACRO,1749,0.3749,—,0.358,—,78.2418,—,0.3738,—,0.6146,—,0.3749,—
Otsu,Normal,1016,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Otsu,Tumor,457,0.0419,0.0805,0.0233,0.0458,141.0644,62.4356,0.0269,0.0667,0.1638,0.2832,0.0419,0.0805
Otsu,Stone,276,0.0106,0.021,0.0054,0.011,163.2222,61.8457,0.0056,0.0113,0.3987,0.4748,0.0106,0.021
Otsu,MACRO,1749,0.3508,—,0.3429,—,101.4289,—,0.3442,—,0.5208,—,0.3508,—
SLIC+GrabCut,Normal,1016,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
SLIC+GrabCut,Tumor,457,0.0231,0.1052,0.016,0.0818,338.6789,178.5575,0.0163,0.0839,0.0713,0.2498,0.0231,0.1052
SLIC+GrabCut,Stone,276,0.0085,0.0199,0.0044,0.0105,131.8824,59.6738,0.0044,0.0108,0.7883,0.3879,0.0085,0.0199
SLIC+GrabCut,MACRO,1749,0.3439,—,0.3401,—,156.8538,—,0.3402,—,0.6199,—,0.3439,—
