dice,iou,hd95,precision,recall,f1,image_id,class,n_masks
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3064),Normal,38
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (581),Normal,35
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1028),Normal,73
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3906),Normal,62
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4914),Normal,71
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (260),Normal,41
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2803),Normal,52
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2784),Normal,51
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3191),Normal,39
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3818),Normal,52
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4336),Normal,70
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4953),Normal,39
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1446),Normal,42
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3601),Normal,27
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (60),Normal,52
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4780),Normal,46
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (978),Normal,31
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3686),Normal,69
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (638),Normal,71
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1833),Normal,35
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2189),Normal,33
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4253),Normal,47
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2920),Normal,71
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1657),Normal,58
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1753),Normal,37
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2677),Normal,45
