dice,iou,hd95,precision,recall,f1,image_id,class,n_masks
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3064),Normal,131
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (581),Normal,143
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1028),Normal,123
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3906),Normal,127
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4914),Normal,111
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (260),Normal,127
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2803),Normal,131
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2784),Normal,132
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3191),Normal,133
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3818),Normal,141
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4336),Normal,94
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4953),Normal,159
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1446),Normal,108
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3601),Normal,106
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (60),Normal,140
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4780),Normal,128
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (978),Normal,143
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3686),Normal,99
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (638),Normal,98
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1833),Normal,112
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2189),Normal,112
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4253),Normal,104
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2920),Normal,101
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1657),Normal,93
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1753),Normal,131
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2677),Normal,136
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4946),Normal,141
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3604),Normal,112
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1562),Normal,129
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4783),Normal,128
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2956),Normal,83
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1483),Normal,116
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4042),Normal,114
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3644),Normal,111
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4905),Normal,112
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2852),Normal,140
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4293),Normal,109
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3838),Normal,160
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4916),Normal,152
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3266),Normal,137
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1019),Normal,121
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (943),Normal,142
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (5062),Normal,100
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (173),Normal,114
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (229),Normal,137
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (145),Normal,116
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2648),Normal,118
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4347),Normal,116
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3689),Normal,105
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1417),Normal,94
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2950),Normal,97
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3960),Normal,95
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4532),Normal,105
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2570),Normal,137
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2457),Normal,107
