dice,iou,hd95,precision,recall,f1,image_id,class,n_masks
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3064),Normal,17
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (581),Normal,24
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1028),Normal,53
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3906),Normal,36
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4914),Normal,36
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (260),Normal,22
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2803),Normal,30
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2784),Normal,30
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3191),Normal,29
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3818),Normal,26
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4336),Normal,48
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4953),Normal,25
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1446),Normal,27
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3601),Normal,14
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (60),Normal,21
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4780),Normal,26
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (978),Normal,21
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3686),Normal,37
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (638),Normal,38
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1833),Normal,19
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2189),Normal,18
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4253),Normal,24
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2920),Normal,43
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1657),Normal,27
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1753),Normal,27
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2677),Normal,24
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4946),Normal,25
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3604),Normal,17
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1562),Normal,20
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4783),Normal,26
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2956),Normal,46
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1483),Normal,23
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4042),Normal,35
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3644),Normal,22
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4905),Normal,35
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2852),Normal,25
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4293),Normal,54
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3838),Normal,23
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4916),Normal,18
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3266),Normal,29
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1019),Normal,54
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (943),Normal,30
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (5062),Normal,46
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (173),Normal,43
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (229),Normal,21
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (145),Normal,43
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2648),Normal,22
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4347),Normal,22
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3689),Normal,39
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1417),Normal,30
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2950),Normal,51
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3960),Normal,29
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4532),Normal,40
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2570),Normal,20
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2457),Normal,22
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1790),Normal,22
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3442),Normal,25
